"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T13","rho.adj",0.58,20,5,0.5,200,100,TRUE,TRUE,2
"T21","rho.sharp",0.19,20,5,0.5,200,100,TRUE,TRUE,2
"T21","rho.oracle",0.18,20,5,0.5,200,100,TRUE,TRUE,2
"T21","rho.plug",0.18,20,5,0.5,200,100,TRUE,TRUE,2
"T21","rho.adj",0.18,20,5,0.5,200,100,TRUE,TRUE,2
"T22","rho.sharp",0.175,20,5,0.5,200,100,TRUE,TRUE,2
"T22","rho.oracle",0.185,20,5,0.5,200,100,TRUE,TRUE,2
"T22","rho.plug",0.2,20,5,0.5,200,100,TRUE,TRUE,2
"T22","rho.adj",0.2,20,5,0.5,200,100,TRUE,TRUE,2
"T23","rho.sharp",0.56,20,5,0.5,200,100,TRUE,TRUE,2
"T23","rho.oracle",0.535,20,5,0.5,200,100,TRUE,TRUE,2
"T23","rho.plug",0.545,20,5,0.5,200,100,TRUE,TRUE,2
"T23","rho.adj",0.5,20,5,0.5,200,100,TRUE,TRUE,2
"T31","rho.sharp",0.19,20,5,0.5,200,100,TRUE,TRUE,2
"T31","rho.oracle",0.185,20,5,0.5,200,100,TRUE,TRUE,2
"T31","rho.plug",0.175,20,5,0.5,200,100,TRUE,TRUE,2
"T31","rho.adj",0.15,20,5,0.5,200,100,TRUE,TRUE,2
"T32","rho.sharp",0.165,20,5,0.5,200,100,TRUE,TRUE,2
"T32","rho.oracle",0.165,20,5,0.5,200,100,TRUE,TRUE,2
"T32","rho.plug",0.17,20,5,0.5,200,100,TRUE,TRUE,2
"T32","rho.adj",0.13,20,5,0.5,200,100,TRUE,TRUE,2
"T33","rho.sharp",0.545,20,5,0.5,200,100,TRUE,TRUE,2
"T33","rho.oracle",0.525,20,5,0.5,200,100,TRUE,TRUE,2
"T33","rho.plug",0.575,20,5,0.5,200,100,TRUE,TRUE,2
"T33","rho.adj",0.57,20,5,0.5,200,100,TRUE,TRUE,2
"T41","rho.sharp",0.19,20,5,0.5,200,100,TRUE,TRUE,2
"T41","rho.oracle",0.185,20,5,0.5,200,100,TRUE,TRUE,2
"T41","rho.plug",0.175,20,5,0.5,200,100,TRUE,TRUE,2
"T41","rho.adj",0.15,20,5,0.5,200,100,TRUE,TRUE,2
"T42","rho.sharp",0.165,20,5,0.5,200,100,TRUE,TRUE,2
"T42","rho.oracle",0.165,20,5,0.5,200,100,TRUE,TRUE,2
"T42","rho.plug",0.17,20,5,0.5,200,100,TRUE,TRUE,2
